Date : 2020-10-03 22:56:00
Directory : x:\Programming\Python\Capsian-Engine
Total : 601 files,  158767 codes, 61008 comments, 32234 blanks, all 252009 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| venv\Windows\Lib\site-packages\pip\_vendor\lockfile                                                                                    |          6 |        467 |        324 |        135 |        926 |
| venv\Windows\Lib\site-packages\pip\_vendor\msgpack                                                                                     |          4 |        806 |        179 |        104 |      1,089 |
| venv\Windows\Lib\site-packages\pip\_vendor\packaging                                                                                   |          9 |        988 |        435 |        398 |      1,821 |
| venv\Windows\Lib\site-packages\pip\_vendor\pep517                                                                                      |          8 |        608 |        203 |        177 |        988 |
| venv\Windows\Lib\site-packages\pip\_vendor\pkg_resources                                                                               |          2 |      1,799 |        839 |        558 |      3,196 |
| venv\Windows\Lib\site-packages\pip\_vendor\progress                                                                                    |          5 |        239 |         69 |        101 |        409 |
| venv\Windows\Lib\site-packages\pip\_vendor\pytoml                                                                                      |          6 |        385 |        101 |         80 |        566 |
| venv\Windows\Lib\site-packages\pip\_vendor\requests                                                                                    |         18 |      2,561 |      1,617 |        884 |      5,062 |
| venv\Windows\Lib\site-packages\pip\_vendor\urllib3                                                                                     |         36 |      5,252 |      2,584 |      1,495 |      9,331 |
| venv\Windows\Lib\site-packages\pip\_vendor\urllib3\contrib                                                                             |         10 |      1,820 |        586 |        435 |      2,841 |
| venv\Windows\Lib\site-packages\pip\_vendor\urllib3\contrib\_securetransport                                                            |          3 |        651 |        151 |        140 |        942 |
| venv\Windows\Lib\site-packages\pip\_vendor\urllib3\packages                                                                            |          6 |        752 |        157 |        198 |      1,107 |
| venv\Windows\Lib\site-packages\pip\_vendor\urllib3\packages\backports                                                                  |          2 |         39 |         11 |          5 |         55 |
| venv\Windows\Lib\site-packages\pip\_vendor\urllib3\packages\ssl_match_hostname                                                         |          2 |         95 |         58 |         24 |        177 |
| venv\Windows\Lib\site-packages\pip\_vendor\urllib3\util                                                                                |         10 |        877 |        685 |        276 |      1,838 |
| venv\Windows\Lib\site-packages\pip\_vendor\webencodings                                                                                |          5 |        769 |        241 |        105 |      1,115 |
| venv\Windows\Lib\site-packages\pkg_resources                                                                                           |         16 |      6,567 |      4,018 |      1,723 |     12,308 |
| venv\Windows\Lib\site-packages\pkg_resources\_vendor                                                                                   |         13 |      4,706 |      3,116 |      1,151 |      8,973 |
| venv\Windows\Lib\site-packages\pkg_resources\_vendor\packaging                                                                         |          9 |        950 |        421 |        380 |      1,751 |
| venv\Windows\Lib\site-packages\pkg_resources\extern                                                                                    |          1 |         42 |         22 |         10 |         74 |
| venv\Windows\Lib\site-packages\pyglet                                                                                                  |        168 |     69,861 |     26,850 |     14,124 |    110,835 |
| venv\Windows\Lib\site-packages\pyglet\app                                                                                              |          5 |        363 |        446 |        137 |        946 |
| venv\Windows\Lib\site-packages\pyglet\canvas                                                                                           |          6 |        560 |        542 |        190 |      1,292 |
| venv\Windows\Lib\site-packages\pyglet\extlibs                                                                                          |          2 |      1,400 |      1,086 |        246 |      2,732 |
| venv\Windows\Lib\site-packages\pyglet\font                                                                                             |          9 |      2,328 |      1,083 |        637 |      4,048 |
| venv\Windows\Lib\site-packages\pyglet\gl                                                                                               |         26 |     26,283 |      7,759 |      4,963 |     39,005 |
| venv\Windows\Lib\site-packages\pyglet\graphics                                                                                         |          5 |      1,379 |      1,364 |        411 |      3,154 |
| venv\Windows\Lib\site-packages\pyglet\image                                                                                            |         14 |      3,154 |      1,771 |        831 |      5,756 |
| venv\Windows\Lib\site-packages\pyglet\image\codecs                                                                                     |         11 |      1,842 |        578 |        485 |      2,905 |
| venv\Windows\Lib\site-packages\pyglet\input                                                                                            |          9 |      2,120 |        900 |        583 |      3,603 |
| venv\Windows\Lib\site-packages\pyglet\libs                                                                                             |         20 |     14,169 |      1,863 |      1,498 |     17,530 |
| venv\Windows\Lib\site-packages\pyglet\libs\darwin                                                                                      |          6 |      1,293 |        564 |        356 |      2,213 |
| venv\Windows\Lib\site-packages\pyglet\libs\darwin\cocoapy                                                                              |          4 |      1,042 |        486 |        348 |      1,876 |
| venv\Windows\Lib\site-packages\pyglet\libs\win32                                                                                       |          6 |      6,164 |        436 |        293 |      6,893 |
| venv\Windows\Lib\site-packages\pyglet\libs\x11                                                                                         |          7 |      6,712 |        863 |        847 |      8,422 |
| venv\Windows\Lib\site-packages\pyglet\media                                                                                            |         36 |      9,076 |      3,071 |      2,237 |     14,384 |
| venv\Windows\Lib\site-packages\pyglet\media\codecs                                                                                     |         12 |      2,769 |        929 |        680 |      4,378 |
| venv\Windows\Lib\site-packages\pyglet\media\codecs\ffmpeg_lib                                                                          |          6 |        882 |        220 |        131 |      1,233 |
| venv\Windows\Lib\site-packages\pyglet\media\drivers                                                                                    |         17 |      5,439 |      1,345 |      1,331 |      8,115 |
| venv\Windows\Lib\site-packages\pyglet\media\drivers\directsound                                                                        |          5 |        991 |        234 |        215 |      1,440 |
| venv\Windows\Lib\site-packages\pyglet\media\drivers\openal                                                                             |          5 |      1,254 |        360 |        328 |      1,942 |
| venv\Windows\Lib\site-packages\pyglet\media\drivers\pulse                                                                              |          4 |      3,034 |        540 |        727 |      4,301 |
| venv\Windows\Lib\site-packages\pyglet\model                                                                                            |          4 |        526 |        304 |        175 |      1,005 |
| venv\Windows\Lib\site-packages\pyglet\model\codecs                                                                                     |          3 |        404 |        160 |        131 |        695 |
| venv\Windows\Lib\site-packages\pyglet\text                                                                                             |         10 |      2,738 |      2,188 |        712 |      5,638 |
| venv\Windows\Lib\site-packages\pyglet\text\formats                                                                                     |          5 |        480 |        286 |         89 |        855 |
| venv\Windows\Lib\site-packages\pyglet\window                                                                                           |         12 |      3,740 |      2,173 |        922 |      6,835 |
| venv\Windows\Lib\site-packages\pyglet\window\cocoa                                                                                     |          6 |        892 |        406 |        242 |      1,540 |
| venv\Windows\Lib\site-packages\pyglet\window\win32                                                                                     |          1 |        862 |        126 |        182 |      1,170 |
| venv\Windows\Lib\site-packages\pyglet\window\xlib                                                                                      |          1 |      1,124 |        190 |        245 |      1,559 |
| venv\Windows\Lib\site-packages\setuptools                                                                                              |         67 |     13,388 |      5,654 |      3,279 |     22,321 |
| venv\Windows\Lib\site-packages\setuptools\_vendor                                                                                      |         12 |      4,400 |      2,876 |      1,088 |      8,364 |
| venv\Windows\Lib\site-packages\setuptools\_vendor\packaging                                                                            |          9 |        950 |        421 |        380 |      1,751 |
| venv\Windows\Lib\site-packages\setuptools\command                                                                                      |         26 |      4,422 |        997 |        948 |      6,367 |
| venv\Windows\Lib\site-packages\setuptools\extern                                                                                       |          1 |         42 |         22 |         10 |         74 |
| venv\Windows\Scripts                                                                                                                   |          3 |         86 |          6 |         28 |        120 |
+----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                               | language   | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| x:\Programming\Python\Capsian-Engine\Capsian\GUI\__init__.py                                                                           | Python     |          0 |         48 |          4 |         52 |
| x:\Programming\Python\Capsian-Engine\Capsian\GUI\label.py                                                                              | Python     |         34 |         99 |         25 |        158 |
| x:\Programming\Python\Capsian-Engine\Capsian\GUI\sprite.py                                                                             | Python     |          9 |         59 |         12 |         80 |
| x:\Programming\Python\Capsian-Engine\Capsian\__init__.py                                                                               | Python     |          0 |         48 |          4 |         52 |
| x:\Programming\Python\Capsian-Engine\Capsian\audio\__init__.py                                                                         | Python     |          0 |         48 |          4 |         52 |
| x:\Programming\Python\Capsian-Engine\Capsian\audio\music.py                                                                            | Python     |         12 |         73 |         17 |        102 |
| x:\Programming\Python\Capsian-Engine\Capsian\audio\sound.py                                                                            | Python     |         15 |         82 |         21 |        118 |
| x:\Programming\Python\Capsian-Engine\Capsian\components\__init__.py                                                                    | Python     |          0 |         48 |          4 |         52 |
| x:\Programming\Python\Capsian-Engine\Capsian\components\character_controller.py                                                        | Python     |         45 |         71 |         30 |        146 |
| x:\Programming\Python\Capsian-Engine\Capsian\components\component.py                                                                   | Python     |         57 |        151 |         57 |        265 |
| x:\Programming\Python\Capsian-Engine\Capsian\components\transform.py                                                                   | Python     |         15 |         58 |         14 |         87 |
| x:\Programming\Python\Capsian-Engine\Capsian\engine.py                                                                                 | Python     |         63 |         76 |         41 |        180 |
| x:\Programming\Python\Capsian-Engine\Capsian\entities\__init__.py                                                                      | Python     |          0 |         48 |          4 |         52 |
| x:\Programming\Python\Capsian-Engine\Capsian\entities\cube.py                                                                          | Python     |         49 |         84 |         31 |        164 |
| x:\Programming\Python\Capsian-Engine\Capsian\entities\entity.py                                                                        | Python     |         63 |        111 |         62 |        236 |
| x:\Programming\Python\Capsian-Engine\Capsian\entities\particle_system.py                                                               | Python     |         68 |        125 |         50 |        243 |
| x:\Programming\Python\Capsian-Engine\Capsian\entities\square.py                                                                        | Python     |         79 |        118 |         59 |        256 |
| x:\Programming\Python\Capsian-Engine\Capsian\input\__init__.py                                                                         | Python     |          0 |         48 |          4 |         52 |
| x:\Programming\Python\Capsian-Engine\Capsian\input\keyboard.py                                                                         | Python     |         14 |         62 |         16 |         92 |
| x:\Programming\Python\Capsian-Engine\Capsian\log.py                                                                                    | Python     |         66 |        102 |         36 |        204 |
| x:\Programming\Python\Capsian-Engine\Capsian\maths\__init__.py                                                                         | Python     |          0 |         48 |          4 |         52 |
| x:\Programming\Python\Capsian-Engine\Capsian\maths\math.py                                                                             | Python     |          8 |         57 |         10 |         75 |
| x:\Programming\Python\Capsian-Engine\Capsian\texturing\__init__.py                                                                     | Python     |          0 |         48 |          4 |         52 |
| x:\Programming\Python\Capsian-Engine\Capsian\texturing\material.py                                                                     | Python     |          7 |         56 |         10 |         73 |
| x:\Programming\Python\Capsian-Engine\Capsian\texturing\texture.py                                                                      | Python     |         75 |         68 |         38 |        181 |
| x:\Programming\Python\Capsian-Engine\Capsian\values.py                                                                                 | Python     |         39 |         48 |         11 |         98 |
| x:\Programming\Python\Capsian-Engine\Capsian\video\__init__.py                                                                         | Python     |          0 |         48 |          4 |         52 |
| x:\Programming\Python\Capsian-Engine\Capsian\video\camera.py                                                                           | Python     |        106 |         87 |         63 |        256 |
| x:\Programming\Python\Capsian-Engine\Capsian\video\fog.py                                                                              | Python     |         23 |         48 |         16 |         87 |
| x:\Programming\Python\Capsian-Engine\Capsian\video\fps_counter.py                                                                      | Python     |          9 |         48 |         12 |         69 |
| x:\Programming\Python\Capsian-Engine\Capsian\video\light.py                                                                            | Python     |         25 |         72 |         20 |        117 |
| x:\Programming\Python\Capsian-Engine\Capsian\video\scene.py                                                                            | Python     |         35 |         58 |         17 |        110 |
| x:\Programming\Python\Capsian-Engine\Capsian\video\sky_color.py                                                                        | Python     |         16 |         48 |         14 |         78 |
| x:\Programming\Python\Capsian-Engine\Capsian\video\window.py                                                                           | Python     |         86 |        126 |         61 |        273 |
| x:\Programming\Python\Capsian-Engine\Capsian\world\__init__.py                                                                         | Python     |          0 |         48 |          4 |         52 |
| x:\Programming\Python\Capsian-Engine\Capsian\world\format.py                                                                           | Python     |         29 |         99 |         35 |        163 |
| x:\Programming\Python\Capsian-Engine\README.md                                                                                         | Markdown   |         37 |          0 |         10 |         47 |
| x:\Programming\Python\Capsian-Engine\console.py                                                                                        | Python     |         57 |         53 |         32 |        142 |
| x:\Programming\Python\Capsian-Engine\locals.py                                                                                         | Python     |         41 |         52 |          5 |         98 |
| x:\Programming\Python\Capsian-Engine\main.py                                                                                           | Python     |         38 |         58 |         24 |        120 |
| x:\Programming\Python\Capsian-Engine\scripts\script.py                                                                                 | Python     |         37 |          1 |         17 |         55 |
| x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\easy_install.py                                                    | Python     |          3 |          1 |          2 |          6 |
| x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\__init__.py                                                    | Python     |          1 |          0 |          1 |          2 |
| x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\__main__.py                                                    | Python     |          9 |          6 |          5 |         20 |
| x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\__init__.py                                          | Python     |         46 |         19 |         14 |         79 |
| x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\build_env.py                                         | Python     |        161 |         23 |         32 |        216 |
| x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\cache.py                                             | Python     |        111 |         70 |         44 |        225 |
| x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\cli\__init__.py                                      | Python     |          0 |          3 |          2 |          5 |
| x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\cli\autocompletion.py                                | Python     |         99 |         38 |         16 |        153 |
| x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\cli\base_command.py                                  | Python     |        255 |         39 |         48 |        342 |
| x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\cli\cmdoptions.py                                    | Python     |        602 |        100 |        108 |        810 |
| x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\cli\main_parser.py                                   | Python     |         59 |         20 |         26 |        105 |
| x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\cli\parser.py                                        | Python     |        162 |         48 |         52 |        262 |
| x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\cli\status_codes.py                                  | Python     |          7 |          0 |          2 |          9 |
| x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\commands\__init__.py                                 | Python     |         56 |          6 |         18 |         80 |
| x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\commands\check.py                                    | Python     |         31 |          2 |          9 |         42 |
| x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\commands\completion.py                               | Python     |         54 |         29 |         12 |         95 |
| x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\commands\configuration.py                            | Python     |        156 |         33 |         39 |        228 |
| x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\commands\download.py                                 | Python     |        130 |         19 |         28 |        177 |
| x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\commands\freeze.py                                   | Python     |         79 |          6 |         12 |         97 |
| x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\commands\hash.py                                     | Python     |         39 |          8 |         11 |         58 |
| x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\commands\help.py                                     | Python     |         24 |          3 |         11 |         38 |
| x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\commands\install.py                                  | Python     |        449 |         43 |         75 |        567 |
| x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\commands\list.py                                     | Python     |        228 |         26 |         48 |        302 |
| x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\commands\search.py                                   | Python     |        101 |         11 |         24 |        136 |
| x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\commands\show.py                                     | Python     |        122 |         20 |         27 |        169 |
| x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\commands\uninstall.py                                | Python     |         58 |         11 |         10 |         79 |
| x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\commands\wheel.py                                    | Python     |        140 |         20 |         27 |        187 |
| x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\configuration.py                                     | Python     |        209 |        112 |         67 |        388 |
| x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\download.py                                          | Python     |        593 |        218 |        161 |        972 |
| x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\exceptions.py                                        | Python     |        115 |         92 |         68 |        275 |
| x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\index.py                                             | Python     |        616 |        251 |        124 |        991 |
| x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\locations.py                                         | Python     |        128 |         46 |         38 |        212 |
| x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\models\__init__.py                                   | Python     |          0 |          2 |          1 |          3 |
| x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\models\candidate.py                                  | Python     |         20 |          4 |          8 |         32 |
| x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\models\format_control.py                             | Python     |         54 |          7 |         13 |         74 |
| x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\models\index.py                                      | Python     |         17 |          7 |          8 |         32 |
| x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\models\link.py                                       | Python     |        101 |         32 |         31 |        164 |
| x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\operations\__init__.py                               | Python     |          0 |          0 |          1 |          1 |
| x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\operations\check.py                                  | Python     |         89 |         30 |         37 |        156 |
| x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\operations\freeze.py                                 | Python     |        198 |         18 |         32 |        248 |
| x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\operations\prepare.py                                | Python     |        244 |        117 |         53 |        414 |
| x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\pep425tags.py                                        | Python     |        221 |         96 |         65 |        382 |
| x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\pyproject.py                                         | Python     |         84 |         62 |         26 |        172 |
| x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\req\__init__.py                                      | Python     |         60 |          7 |         11 |         78 |
| x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\req\constructors.py                                  | Python     |        255 |         44 |         41 |        340 |
| x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\req\req_file.py                                      | Python     |        225 |        111 |         47 |        383 |
| x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\req\req_install.py                                   | Python     |        728 |        202 |         92 |      1,022 |
| x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\req\req_set.py                                       | Python     |        128 |         43 |         27 |        198 |
| x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\req\req_tracker.py                                   | Python     |         67 |          7 |         15 |         89 |
| x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\req\req_uninstall.py                                 | Python     |        408 |        102 |         87 |        597 |
| x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\resolve.py                                           | Python     |        234 |        109 |         51 |        394 |
| x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\utils\__init__.py                                    | Python     |          0 |          0 |          1 |          1 |
| x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\utils\appdirs.py                                     | Python     |        118 |        117 |         36 |        271 |
| x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\utils\compat.py                                      | Python     |        146 |         78 |         41 |        265 |
| x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\utils\deprecation.py                                 | Python     |         40 |         32 |         19 |         91 |
| x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\utils\encoding.py                                    | Python     |         28 |          5 |          7 |         40 |
| x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\utils\filesystem.py                                  | Python     |         20 |          6 |          5 |         31 |
| x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\utils\glibc.py                                       | Python     |         38 |         41 |         15 |         94 |
| x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\utils\hashes.py                                      | Python     |         52 |         42 |         22 |        116 |
| x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\utils\logging.py                                     | Python     |        203 |         61 |         55 |        319 |
| x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\utils\misc.py                                        | Python     |        628 |        276 |        137 |      1,041 |
| x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\utils\models.py                                      | Python     |         23 |          4 |         14 |         41 |
| x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\utils\outdated.py                                    | Python     |        106 |         30 |         29 |        165 |
| x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\utils\packaging.py                                   | Python     |         55 |         14 |         17 |         86 |
| x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\utils\setuptools_build.py                            | Python     |          7 |          1 |          1 |          9 |
| x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\utils\temp_dir.py                                    | Python     |         74 |         61 |         21 |        156 |
| x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\utils\typing.py                                      | Python     |          1 |         27 |          2 |         30 |
| x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\utils\ui.py                                          | Python     |        249 |        100 |         93 |        442 |
| x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\vcs\__init__.py                                      | Python     |        279 |        185 |         71 |        535 |
| x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\vcs\bazaar.py                                        | Python     |         85 |          8 |         22 |        115 |
| x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\vcs\git.py                                           | Python     |        238 |         76 |         56 |        370 |
| x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\vcs\mercurial.py                                     | Python     |         82 |          2 |         20 |        104 |
| x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\vcs\subversion.py                                    | Python     |        145 |         22 |         34 |        201 |
